title,description,genres
Alarum,two married spies caught crosshairs international intelligence network stop nothing obtain critical asset joe lara agents living grid whose quiet retreat winter resort blown shreds members old guard suspect two may joined elite team rogue spies known alarum,"Action, Crime, Thriller"
Dismantling an Elephant,mother trapped close bond daughter daytoday life whose elephant room addiction nobody mentions remaining taboo,Drama
Gladiator,death emperor marcus aurelius devious son takes power demotes maximus one romes capable generals marcus preferred eventually maximus forced become gladiator battle death men amusement paying audiences,"Action, Drama, Adventure"
Forrest Gump,man low iq accomplished great things life present significant historic events—in case far exceeding anyone imagined could despite achieved one true love eludes,"Comedy, Drama, Romance"
Avatar: The Way of Water,set decade events first film learn story sully family jake neytiri kids trouble follows lengths go keep safe battles fight stay alive tragedies endure,"Science Fiction, Adventure, Action"
Fight Club,tickingtimebomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catches underground fight clubs forming every town eccentric gets way ignites outofcontrol spiral toward oblivion,Drama
Ash,woman wakes distant planet finds crew space station viciously killed investigation happened sets motion terrifying chain events,"Science Fiction, Horror, Thriller"
Inception,cobb skilled thief commits corporate espionage infiltrating subconscious targets offered chance regain old life payment task considered impossible inception implantation another persons idea targets subconscious,"Action, Science Fiction, Adventure"
Prisoners,keller dover facing every parent’s worst nightmare sixyearold daughter anna missing together young friend joy minutes turn hours panic sets lead dilapidated rv earlier parked street,"Drama, Thriller, Crime"
The Biggest Fan,canceled hollywood star lana cruz heads hometown comeback enter polly fanturnedfrenemy lana dodge drama reclaim fame,Comedy
Werewolves,year supermoon’s light activated dormant gene transforming humans bloodthirsty werewolves causing nearly billion deaths nightmare resurfaces supermoon rises two scientists attempt stop mutation fail must struggle reach one family homes,"Action, Horror, Thriller"
Female Teacher in Rope Hell,female teacher spots one students molested vagrant rescue attempt fails vagrant drags teacher empty classroom sexually assaults student finds school employee piano tuner try help offer comfort later piano tuner invites teacher house wants obedient loving bride built nice caged apartment basement subjects endless series sexual humiliations persuade say yes,"Drama, Horror"
How to Train Your Dragon,rugged isle berk vikings dragons bitter enemies generations hiccup stands apart defying centuries tradition befriends toothless feared night fury dragon unlikely bond reveals true nature dragons challenging foundations viking society,"Action, Family, Fantasy"
Cosmic Chaos,battles virtual reality survival postapocalyptic wasteland soviet spaceship giving distress signal fantastic stories created advanced special effects passion,"Thriller, Science Fiction"
Top Gun: Maverick,thirty years service one navy’s top aviators dodging advancement rank would ground pete “maverick” mitchell finds training detachment top gun graduates specialized mission likes living pilot ever seen,"Action, Drama"
Godzilla x Kong: The New Empire,following explosive showdown godzilla kong must reunite colossal undiscovered threat hidden within world challenging existence –,"Action, Adventure, Science Fiction"
Marcello Mio,pressured sides figure father chiara mastroianni decides bring back life self goes name marcello dresses like asks considered actor actress people around believe temporary joke chiara determined give new identity…,"Comedy, Drama"
Sugar Baby,enterprising sugar baby offered 30000 move sugar daddy week soon discovers sinister secrets trapped within home,"Thriller, Comedy"
Room in Rome,hotel room center rome serves setting alba natasha two sexy recently acquainted women physical adventure touches souls,"Drama, Romance"
The Truman Show,every second every day moment born last thirty years truman burbank unwitting star longest running popular documentarysoap opera history pictureperfect town seahaven calls home actually gigantic soundstage trumans friends family everyone meets fact actors lives every moment unblinking gaze thousands hidden tv cameras,"Comedy, Drama"
Fall,best friends becky hunter life conquering fears pushing limits climb 2000 feet top remote abandoned radio tower find stranded way becky hunter’s expert climbing skills put ultimate test desperately fight survive elements lack supplies vertigoinducing heights,Thriller
How to Train Your Dragon,son viking leader cusp manhood shy hiccup horrendous haddock iii faces rite passage must kill dragon prove warrior mettle downing feared dragon realizes longer wants destroy instead befriends beast – names toothless – much chagrin warrior father,"Fantasy, Adventure, Animation, Family"
Twilight,bella swan moves small town pacific northwest falls love edward cullen mysterious classmate reveals 108yearold vampire despite edwards repeated cautions bella cant stay away fatal move endangers life,"Fantasy, Drama, Romance"
Zootopia,determined prove officer judy hopps first bunny zootopias police force jumps chance crack first case even means partnering scamartist fox nick wilde solve mystery,"Animation, Adventure, Family, Comedy"
Sidelined: The QB and Me,dallas burdened headstrong dancer determined get best dance school country—her late mother’s alma mater however dream suddenly derailed cheeky yet secretly grieving football star drayton crashes life unique story two able grow dreams together dreams sidelined,"Comedy, Romance"
Toy Story,led woody andys toys live happily room andys birthday brings buzz lightyear onto scene afraid losing place andys heart woody plots buzz circumstances separate buzz woody owner duo eventually learns put aside differences,"Animation, Adventure, Family, Comedy"
Black Bag,intelligence agent kathryn woodhouse suspected betraying nation husband – also legendary agent – faces ultimate test whether loyal marriage country,"Thriller, Mystery, Drama"
The Conjuring 2,lorraine ed warren travel north london help single mother raising four children alone house plagued malicious spirits,Horror
After,tessa young dedicated student dutiful daughter loyal girlfriend high school sweetheart entering first semester college tessas guarded world opens meets hardin scott mysterious brooding rebel makes question thought knew wants life,"Romance, Drama"
The Hard Hit,interpol agent hunting head global crime syndicate tracks target las vegas criminal organization kills wife daughter goes law get revenge,"Action, Thriller, Crime"
The Beekeeper,one mans campaign vengeance takes national stakes revealed former operative powerful clandestine organization known beekeepers,"Action, Crime, Thriller"
